plant,header_material,component_material,effective_component_qty,scrap_factor
NW01,MAT-100000,RM-COIL-NI,6.192,1.0251
NW01,MAT-100003,RM-COIL-SS316,8.707,1.0486
NW01,MAT-100004,RM-COIL-HC276,15.93,1.0363
NW01,MAT-100007,RM-COIL-TI,6.951,1.0464
NW01,MAT-100008,RM-COIL-HC276,7.376,1.0496
NW01,MAT-100016,RM-COIL-NI,12.414,1.0394
NW01,MAT-100019,RM-COIL-SS316,9.007,1.0573
NW01,MAT-100022,RM-COIL-SS304,6.103,1.0568
NW01,MAT-100022,RM-COIL-TI,4.941,1.0513
NW01,MAT-100038,RM-COIL-NI,7.043,1.0718
NW01,MAT-100051,RM-COIL-TI,5.316,1.0191
NW01,MAT-100061,RM-COIL-HC276,9.155,1.0373
NW01,MAT-100063,RM-COIL-TI,5.79,1.0322
NW01,MAT-100064,RM-COIL-TI,11.819,1.0594
NW01,MAT-100067,RM-COIL-AL,6.214,1.0516
NW01,MAT-100067,RM-COIL-SS304,9.086,1.0556
NW01,MAT-100070,RM-COIL-HC276,7.086,1.0577
NW01,MAT-100073,RM-COIL-SS304,7.552,1.0742
NW01,MAT-100075,RM-COIL-TI,5.316,1.0675
NW01,MAT-100078,RM-COIL-AL,7.247,1.0475
NW01,MAT-100083,RM-COIL-HC276,16.442,1.0486
NW01,MAT-100084,RM-COIL-TI,5.197,1.0557
NW01,MAT-100090,RM-COIL-SS304,10.43,1.0628
NW01,MAT-100098,RM-COIL-AL,4.727,1.0475
NW01,MAT-100114,RM-COIL-NI,8.973,1.0557
NW01,MAT-100119,RM-COIL-SS304,11.679,1.0546
NW01,MAT-100123,RM-COIL-TI,5.882,1.069
NW01,MAT-100126,RM-COIL-TI,6.367,1.0455
NW01,MAT-100130,RM-COIL-HC276,8.15,1.0648
NW01,MAT-100130,RM-COIL-SS316,7.84,1.0654
NW01,MAT-100131,RM-COIL-SS316,12.517,1.0312
NW01,MAT-100134,RM-COIL-TI,5.497,1.0527
NW01,MAT-100140,RM-COIL-HC276,7.702,1.0804
NW01,MAT-100141,RM-COIL-NI,6.289,1.0772
NW01,MAT-100141,RM-COIL-AL,4.987,1.0363
NW01,MAT-100146,RM-COIL-SS304,6.07,1.0444
NW01,MAT-100147,RM-COIL-TI,6.264,1.0373
NW01,MAT-100147,RM-COIL-NI,5.842,1.0282
NW01,MAT-100150,RM-COIL-NI,9.005,1.0587
NW01,MAT-100150,RM-COIL-HC276,11.765,1.0794
NW01,MAT-100159,RM-COIL-HC276,8.36,1.069
NW01,MAT-100160,RM-COIL-SS316,13.366,1.0383
NW01,MAT-100160,RM-COIL-AL,9.191,1.0393
NW01,MAT-100163,RM-COIL-TI,6.037,1.0473
