plant,material,stock_qty,atp_qty,in_transit_qty,safety_stock_qty,inventory_snapshot_date
NW01,MAT-100000,612,550,2794,788,2026.04.03
NW01,MAT-100003,1143,906,1736,1048,2026.04.03
NW01,MAT-100004,5038,2975,569,320,2026.04.03
NW01,MAT-100007,11975,9755,1058,147,2026.04.03
NW01,MAT-100008,7702,6146,334,714,2026.04.03
NW01,MAT-100016,8312,4206,1189,466,2026.04.03
NW01,MAT-100019,8823,5174,3156,1055,2026.04.03
NW01,MAT-100022,10021,8312,1183,363,2026.04.03
NW01,MAT-100038,8530,7039,1824,496,2026.04.03
NW01,MAT-100051,6829,4457,3126,644,2026.04.03
NW01,MAT-100061,5128,2861,2484,104,2026.04.03
NW01,MAT-100063,10687,6070,1042,896,2026.04.03
NW01,MAT-100064,48,36,881,1053,2026.04.03
NW01,MAT-100067,9667,5216,2727,541,2026.04.03
NW01,MAT-100070,6653,6061,312,1034,2026.04.03
NW01,MAT-100073,1634,964,1754,489,2026.04.03
NW01,MAT-100075,9727,5734,908,664,2026.04.03
NW01,MAT-100078,4996,2888,1527,426,2026.04.03
NW01,MAT-100083,9697,6702,2568,1160,2026.04.03
NW01,MAT-100084,348,324,266,504,2026.04.03
NW01,MAT-100090,1553,1231,330,991,2026.04.03
NW01,MAT-100098,5060,4223,2454,913,2026.04.03
NW01,MAT-100114,6305,5059,2701,135,2026.04.03
NW01,MAT-100119,2836,2254,3343,406,2026.04.03
NW01,MAT-100123,9543,5585,2441,1182,2026.04.03
NW01,MAT-100126,6890,6102,864,755,2026.04.03
NW01,MAT-100130,8572,6357,2169,1185,2026.04.03
NW01,MAT-100131,6320,5460,1837,107,2026.04.03
NW01,MAT-100134,2555,1698,1468,554,2026.04.03
NW01,MAT-100140,3903,3633,200,93,2026.04.03
NW01,MAT-100141,9273,6817,1054,167,2026.04.03
NW01,MAT-100146,343,216,3207,1071,2026.04.03
NW01,MAT-100147,9140,7528,1743,1155,2026.04.03
NW01,MAT-100150,9060,7266,414,96,2026.04.03
NW01,MAT-100159,8543,5346,3086,637,2026.04.03
NW01,MAT-100160,10689,6815,1255,246,2026.04.03
NW01,MAT-100163,680,464,2572,414,2026.04.03
NW01,MAT-100179,9340,8405,2360,798,2026.04.03
NW01,MAT-100182,2712,2141,2680,51,2026.04.03
NW01,MAT-100184,4147,3824,631,1085,2026.04.03
NW01,MAT-100185,11343,10694,3100,260,2026.04.03
NW01,MAT-100186,7559,6835,3436,751,2026.04.03
NW01,MAT-100203,3957,2027,2120,333,2026.04.03
NW01,MAT-100209,3062,2102,261,1022,2026.04.03
NW01,MAT-100214,1253,843,2366,924,2026.04.03
NW01,MAT-100221,3736,2485,735,416,2026.04.03
NW01,MAT-100225,5967,5552,401,570,2026.04.03
NW01,MAT-100226,5395,3586,2831,901,2026.04.03
NW01,MAT-100230,6259,3752,2977,122,2026.04.03
NW01,MAT-100239,11335,9473,1678,345,2026.04.03
NW01,MAT-100242,11312,10000,1747,1168,2026.04.03
NW01,MAT-100247,8904,7800,2740,769,2026.04.03
NW01,MAT-100249,7244,4095,217,589,2026.04.03
NW01,MAT-100252,11690,6038,2471,1153,2026.04.03
