scenario,plant,component_material,week,component_demand_qty,available_qty,shortage_qty,coverage_days_or_weeks,recommended_order_date,shortage_flag,sourcing_risk_score
all_in,NW01,RM-COIL-AL,W01 2026,26473.5,0.0,26473.5,0.0,2025-11-29,True,1.0
all_in,NW01,RM-COIL-AL,W02 2026,26473.5,0.0,26473.5,0.0,2025-12-06,True,1.0
all_in,NW01,RM-COIL-AL,W03 2026,26473.5,0.0,26473.5,0.0,2025-12-13,True,1.0
all_in,NW01,RM-COIL-AL,W04 2026,26473.5,0.0,26473.5,0.0,2025-12-20,True,1.0
all_in,NW01,RM-COIL-AL,W05 2026,26473.5,0.0,26473.5,0.0,2025-12-27,True,1.0
all_in,NW01,RM-COIL-AL,W06 2026,26473.5,0.0,26473.5,0.0,2026-01-03,True,1.0
all_in,NW01,RM-COIL-AL,W07 2026,26473.5,0.0,26473.5,0.0,2026-01-10,True,1.0
all_in,NW01,RM-COIL-AL,W08 2026,26473.5,0.0,26473.5,0.0,2026-01-17,True,1.0
all_in,NW01,RM-COIL-AL,W09 2026,26473.5,0.0,26473.5,0.0,2026-01-24,True,1.0
all_in,NW01,RM-COIL-AL,W10 2026,26473.5,0.0,26473.5,0.0,2026-01-31,True,1.0
all_in,NW01,RM-COIL-AL,W11 2026,26473.5,0.0,26473.5,0.0,2026-02-07,True,1.0
all_in,NW01,RM-COIL-AL,W12 2026,26473.5,0.0,26473.5,0.0,2026-02-14,True,1.0
all_in,NW01,RM-COIL-HC276,W01 2026,45412.3,0.0,45412.3,0.0,2025-11-29,True,1.0
all_in,NW01,RM-COIL-HC276,W02 2026,45412.3,0.0,45412.3,0.0,2025-12-06,True,1.0
all_in,NW01,RM-COIL-HC276,W03 2026,45412.3,0.0,45412.3,0.0,2025-12-13,True,1.0
all_in,NW01,RM-COIL-HC276,W04 2026,45412.3,0.0,45412.3,0.0,2025-12-20,True,1.0
all_in,NW01,RM-COIL-HC276,W05 2026,45412.3,0.0,45412.3,0.0,2025-12-27,True,1.0
all_in,NW01,RM-COIL-HC276,W06 2026,45412.3,0.0,45412.3,0.0,2026-01-03,True,1.0
all_in,NW01,RM-COIL-HC276,W07 2026,45412.3,0.0,45412.3,0.0,2026-01-10,True,1.0
all_in,NW01,RM-COIL-HC276,W08 2026,45412.3,0.0,45412.3,0.0,2026-01-17,True,1.0
all_in,NW01,RM-COIL-HC276,W09 2026,45412.3,0.0,45412.3,0.0,2026-01-24,True,1.0
all_in,NW01,RM-COIL-HC276,W10 2026,45412.3,0.0,45412.3,0.0,2026-01-31,True,1.0
all_in,NW01,RM-COIL-HC276,W11 2026,45412.3,0.0,45412.3,0.0,2026-02-07,True,1.0
all_in,NW01,RM-COIL-HC276,W12 2026,45412.3,0.0,45412.3,0.0,2026-02-14,True,1.0
all_in,NW01,RM-COIL-NI,W01 2026,24259.3,0.0,24259.3,0.0,2025-11-29,True,1.0
all_in,NW01,RM-COIL-NI,W02 2026,24259.3,0.0,24259.3,0.0,2025-12-06,True,1.0
all_in,NW01,RM-COIL-NI,W03 2026,24259.3,0.0,24259.3,0.0,2025-12-13,True,1.0
all_in,NW01,RM-COIL-NI,W04 2026,24259.3,0.0,24259.3,0.0,2025-12-20,True,1.0
all_in,NW01,RM-COIL-NI,W05 2026,24259.3,0.0,24259.3,0.0,2025-12-27,True,1.0
all_in,NW01,RM-COIL-NI,W06 2026,24259.3,0.0,24259.3,0.0,2026-01-03,True,1.0
all_in,NW01,RM-COIL-NI,W07 2026,24259.3,0.0,24259.3,0.0,2026-01-10,True,1.0
all_in,NW01,RM-COIL-NI,W08 2026,24259.3,0.0,24259.3,0.0,2026-01-17,True,1.0
all_in,NW01,RM-COIL-NI,W09 2026,24259.3,0.0,24259.3,0.0,2026-01-24,True,1.0
all_in,NW01,RM-COIL-NI,W10 2026,24259.3,0.0,24259.3,0.0,2026-01-31,True,1.0
all_in,NW01,RM-COIL-NI,W11 2026,24259.3,0.0,24259.3,0.0,2026-02-07,True,1.0
all_in,NW01,RM-COIL-NI,W12 2026,24259.3,0.0,24259.3,0.0,2026-02-14,True,1.0
all_in,NW01,RM-COIL-SS304,W01 2026,30577.55,0.0,30577.55,0.0,2025-11-29,True,1.0
