plant,material,tool,work_center,work_center_full,cycle_time_min,material_status,routing_source,reason_code,revision
NW01,MAT-100000,T-70280-B,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.44,Active,legacy_tool_master,COMPLETE,D
NW01,MAT-100003,T-70017-B,P01_NW01_PRESS_4,P01_NW01_PRESS_4,1.358,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100004,T-70689-C,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.778,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100007,T-70597-B,P01_NW01_EXTRUSION_1,P01_NW01_EXTRUSION_1,1.896,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100008,T-70377-B,P01_NW01_PRESS_1,P01_NW01_PRESS_1,0.905,Phase-out,legacy_tool_master,COMPLETE,C
NW01,MAT-100016,T-70692-A,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.875,Phase-out,legacy_tool_master,COMPLETE,A
NW01,MAT-100019,T-70127-C,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.43,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100022,T-70539-D,P01_NW01_PRESS_2,P01_NW01_PRESS_2,1.422,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100038,T-70591-C,P01_NW01_PRESS_4,P01_NW01_PRESS_4,1.64,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100051,T-70039-B,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.591,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100061,T-70205-B,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.307,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100063,T-70649-D,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.177,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100064,T-70540-C,P01_NW01_PRESS_5,P01_NW01_PRESS_5,2.342,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100067,T-70662-A,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.699,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100070,T-70256-A,P01_NW01_PRESS_1,P01_NW01_PRESS_1,1.446,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100073,T-70366-B,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.084,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100075,T-70627-A,P01_NW01_PRESS_2,P01_NW01_PRESS_2,1.406,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100078,T-70470-C,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.215,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100083,T-70187-C,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.698,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100084,T-70186-D,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.367,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100090,T-70553-C,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.289,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100098,T-70649-D,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.435,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100114,T-70357-D,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.457,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100119,T-70698-A,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.961,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100123,T-70152-B,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.077,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100126,T-70561-C,P01_NW01_PRESS_1,P01_NW01_PRESS_1,1.515,Phase-out,legacy_tool_master,COMPLETE,C
NW01,MAT-100130,T-70601-B,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.316,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100131,T-70381-D,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.5,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100134,T-70096-D,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.292,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100140,T-70022-D,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.338,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100141,T-70688-A,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.489,Phase-out,legacy_tool_master,COMPLETE,C
NW01,MAT-100146,T-70374-C,P01_NW01_EXTRUSION_1,P01_NW01_EXTRUSION_1,1.053,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100147,T-70386-D,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.408,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100150,T-70288-A,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.397,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100159,T-70184-B,P01_NW01_PRESS_1,P01_NW01_PRESS_1,1.461,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100160,T-70664-C,P01_NW01_PRESS_5,P01_NW01_PRESS_5,2.021,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100163,T-70132-D,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.513,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100179,T-70692-A,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.128,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100182,T-70585-D,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.442,Phase-out,legacy_tool_master,COMPLETE,A
NW01,MAT-100184,T-70446-B,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.302,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100185,T-70600-C,P01_NW01_PRESS_5,P01_NW01_PRESS_5,2.303,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100186,T-70568-C,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.308,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100203,T-70540-C,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.529,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100209,T-70250-A,P01_NW01_nan,P01_NW01_nan,2.47,Phase-out,legacy_tool_master,MISSING_WORK_CENTER,B
NW01,MAT-100214,T-70037-C,P01_NW01_EXTRUSION_1,P01_NW01_EXTRUSION_1,0.98,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100221,T-70514-A,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.815,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100225,T-70567-B,P01_NW01_PRESS_1,P01_NW01_PRESS_1,0.966,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100226,T-70395-A,P01_NW01_PRESS_1,P01_NW01_PRESS_1,1.37,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100230,T-70465-C,P01_NW01_GRINDING_1,P01_NW01_GRINDING_1,1.641,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100239,T-70250-A,P01_NW01_PRESS_6,P01_NW01_PRESS_6,2.106,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100242,T-70010-C,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.576,Active,legacy_tool_master,COMPLETE,A
NW01,MAT-100247,T-70038-A,P01_NW01_PRESS_5,P01_NW01_PRESS_5,1.52,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100249,T-70684-A,P01_NW01_PRESS_2,P01_NW01_PRESS_2,1.349,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100252,T-70200-D,P01_NW01_PRESS_4,P01_NW01_PRESS_4,1.377,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100264,T-70557-B,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.374,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100269,T-70228-A,P01_NW01_PRESS_5,P01_NW01_PRESS_5,2.157,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100270,T-70196-A,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.933,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100273,T-70005-C,P01_NW01_ASSY_1,P01_NW01_ASSY_1,1.055,Phase-out,legacy_tool_master,COMPLETE,C
NW01,MAT-100277,T-70467-A,P01_NW01_PRESS_1,P01_NW01_PRESS_1,1.337,Active,legacy_tool_master,COMPLETE,C
NW01,MAT-100282,T-70174-C,P01_NW01_PRESS_3,P01_NW01_PRESS_3,1.536,Active,legacy_tool_master,COMPLETE,B
NW01,MAT-100283,T-70446-B,P01_NW01_PRESS_6,P01_NW01_PRESS_6,1.902,Phase-out,legacy_tool_master,COMPLETE,B
NW01,MAT-100284,T-70197-C,P01_NW01_EXTRUSION_1,P01_NW01_EXTRUSION_1,1.443,Phase-out,legacy_tool_master,COMPLETE,C
NW01,MAT-100286,T-70487-A,P01_NW01_PRESS_1,P01_NW01_PRESS_1,1.459,Active,legacy_tool_master,COMPLETE,B
