plant,material,procurement_type,lead_time_days,order_policy_note,reason_code
NW01,MAT-100000,X,21.0,Mixed procurement,READY
NW01,MAT-100003,X,60.0,Mixed procurement,READY
NW01,MAT-100004,F,45.0,In-house production,READY
NW01,MAT-100007,X,60.0,Mixed procurement,READY
NW01,MAT-100008,F,35.0,In-house production,READY
NW01,MAT-100016,F,35.0,In-house production,READY
NW01,MAT-100019,E,28.0,External procurement,READY
NW01,MAT-100022,E,60.0,External procurement,READY
NW01,MAT-100038,F,14.0,In-house production,READY
NW01,MAT-100051,X,35.0,Mixed procurement,READY
NW01,MAT-100061,E,45.0,External procurement,READY
NW01,MAT-100063,E,28.0,External procurement,READY
NW01,MAT-100064,X,28.0,Mixed procurement,READY
NW01,MAT-100067,X,14.0,Mixed procurement,READY
NW01,MAT-100070,E,45.0,External procurement,READY
NW01,MAT-100073,E,45.0,External procurement,READY
NW01,MAT-100075,F,14.0,In-house production,READY
NW01,MAT-100078,E,14.0,External procurement,READY
NW01,MAT-100083,X,28.0,Mixed procurement,READY
NW01,MAT-100084,E,45.0,External procurement,READY
NW01,MAT-100090,X,28.0,Mixed procurement,READY
NW01,MAT-100098,F,60.0,In-house production,READY
NW01,MAT-100114,X,28.0,Mixed procurement,READY
NW01,MAT-100119,F,28.0,In-house production,READY
NW01,MAT-100123,E,60.0,External procurement,READY
NW01,MAT-100126,E,28.0,External procurement,READY
NW01,MAT-100130,X,28.0,Mixed procurement,READY
NW01,MAT-100131,X,21.0,Mixed procurement,READY
NW01,MAT-100134,X,21.0,Mixed procurement,READY
NW01,MAT-100140,F,28.0,In-house production,READY
NW01,MAT-100141,X,35.0,Mixed procurement,READY
NW01,MAT-100146,F,21.0,In-house production,READY
NW01,MAT-100147,E,14.0,External procurement,READY
NW01,MAT-100150,X,45.0,Mixed procurement,READY
NW01,MAT-100159,F,14.0,In-house production,READY
NW01,MAT-100160,F,35.0,In-house production,READY
NW01,MAT-100163,X,60.0,Mixed procurement,READY
