plant,header_material,component_material,qty_per,qty_per_effective,lead_time_weeks,comp_class,component_description,bom_status,reason_code
P01_NW01_Northwind Midwest,MAT-100000,RM-COIL-NI,6.04,6.192,3,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100003,RM-COIL-SS316,8.303,8.707,3,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100004,RM-COIL-HC276,15.372,15.93,8,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100007,RM-COIL-TI,6.643,6.951,6,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100008,RM-COIL-HC276,7.027,7.376,4,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100016,RM-COIL-NI,11.943,12.414,6,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100019,RM-COIL-SS316,8.519,9.007,8,Plates,COIL SS316 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100022,RM-COIL-SS304,5.775,6.103,4,Plates,COIL SS304 1250mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100022,RM-COIL-TI,4.7,4.941,8,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100038,RM-COIL-NI,6.571,7.043,8,Plates,COIL NICKEL 1200mm 0.35mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100051,RM-COIL-TI,5.216,5.316,3,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100061,RM-COIL-HC276,8.826,9.155,8,Plates,COIL HASTELLOY C276 1250mm 0.5mm,Active,READY
P01_NW01_Northwind Midwest,MAT-100063,RM-COIL-TI,5.609,5.79,3,Plates,COIL TITANIUM 1200mm 0.4mm,Active,READY
