plant,plant_name,snapshot_date,ops_group,material,material_description,stock_qty,atp_qty,safety_stock_qty,in_transit_qty,total_stock_value_eur,reason_code
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100000,S62/PL.01 304TL 0.5mm,612,550,788,2794,121244.23,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100003,S160/PL.04 304TL 0.4mm,1143,906,1048,1736,73522.59,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100004,XL420/PL.05 304TL 0.5mm,5038,2975,320,569,324754.14,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-12X,MAT-100007,PRO-12X/PL.08 304TL 0.4mm,11975,9755,147,1058,61566.67,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX100,MAT-100008,MX100/PL.09 304TL 0.7mm,7702,6146,714,334,267632.83,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100016,XL420/PL.17 304TL 0.5mm,8312,4206,466,1189,111945.44,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-12X,MAT-100019,PRO-12X/PL.20 304TL 0.4mm,8823,5174,1055,3156,679191.69,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX250,MAT-100022,MX250/PL.23 304TL 0.3mm,10021,8312,363,1183,650594.61,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100038,S140/PL.39 304TL 0.8mm,8530,7039,496,1824,562745.36,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100051,S160/PL.02 304TL 0.4mm,6829,4457,644,3126,66188.68,READY
NW01,Northwind Midwest,2026-04-03,OPS-S120,MAT-100061,S120/PL.12 304TL 0.5mm,5128,2861,104,2484,281148.74,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100063,S160/PL.14 304TL 0.3mm,10687,6070,896,1042,518381.79,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100064,XL420/PL.15 304TL 0.8mm,48,36,1053,881,38916.59,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-12X,MAT-100067,PRO-12X/PL.18 304TL 0.8mm,9667,5216,541,2727,208874.42,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX250,MAT-100070,MX250/PL.21 304TL 0.3mm,6653,6061,1034,312,87430.76,READY
NW01,Northwind Midwest,2026-04-03,OPS-S120,MAT-100073,S120/PL.24 304TL 0.5mm,1634,964,489,1754,52401.18,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100075,S160/PL.26 304TL 0.3mm,9727,5734,664,908,515333.65,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100078,PRO-9X/PL.29 304TL 0.8mm,4996,2888,426,1527,223199.88,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100083,HT80/PL.34 304TL 0.7mm,9697,6702,1160,2568,358043.76,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100084,S62/PL.35 304TL 0.6mm,348,324,504,266,19141.38,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100090,PRO-9X/PL.41 304TL 0.8mm,1553,1231,991,330,83022.83,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100098,S140/PL.49 304TL 0.6mm,5060,4223,913,2454,336477.01,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100114,PRO-9X/PL.15 304TL 0.7mm,6305,5059,135,2701,160528.55,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100119,HT80/PL.20 304TL 0.4mm,2836,2254,406,3343,118023.3,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100123,S160/PL.24 304TL 0.4mm,9543,5585,1182,2441,176676.39,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100126,PRO-9X/PL.27 304TL 0.5mm,6890,6102,755,864,425027.2,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX250,MAT-100130,MX250/PL.31 304TL 0.7mm,8572,6357,1185,2169,509324.07,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100131,HT80/PL.32 304TL 0.4mm,6320,5460,107,1837,137241.46,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100134,S140/PL.35 304TL 0.6mm,2555,1698,554,1468,126465.01,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX100,MAT-100140,MX100/PL.41 304TL 0.5mm,3903,3633,93,200,14411.27,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100141,MX200/PL.42 304TL 0.3mm,9273,6817,167,1054,316256.75,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100146,S140/PL.47 304TL 0.4mm,343,216,1071,3207,162979.99,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100147,S160/PL.48 304TL 0.7mm,9140,7528,1155,1743,506057.03,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100150,PRO-9X/PL.01 304TL 0.5mm,9060,7266,96,414,519319.01,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100159,S160/PL.10 304TL 0.6mm,8543,5346,637,3086,83123.94,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100160,XL420/PL.11 304TL 0.7mm,10689,6815,246,1255,309228.41,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-12X,MAT-100163,PRO-12X/PL.14 304TL 0.6mm,680,464,414,2572,135757.15,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100179,HT80/PL.30 304TL 0.3mm,9340,8405,798,2360,460341.15,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100182,S140/PL.33 304TL 0.5mm,2712,2141,51,2680,25734.57,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL420,MAT-100184,XL420/PL.35 304TL 0.8mm,4147,3824,1085,631,23693.67,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100185,XL520/PL.36 304TL 0.4mm,11343,10694,260,3100,362944.78,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100186,PRO-9X/PL.37 304TL 0.4mm,7559,6835,751,3436,195569.39,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100203,HT80/PL.04 304TL 0.5mm,3957,2027,333,2120,175035.33,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100209,XL520/PL.10 304TL 0.6mm,3062,2102,1022,261,88134.08,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX250,MAT-100214,MX250/PL.15 304TL 0.7mm,1253,843,924,2366,60559.87,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100221,XL520/PL.22 304TL 0.5mm,3736,2485,416,735,168739.6,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100225,MX200/PL.26 304TL 0.5mm,5967,5552,570,401,113913.84,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX250,MAT-100226,MX250/PL.27 304TL 0.7mm,5395,3586,901,2831,24993.54,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100230,S140/PL.31 304TL 0.5mm,6259,3752,122,2977,206853.55,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100239,HT80/PL.40 304TL 0.5mm,11335,9473,345,1678,726214.14,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100242,S140/PL.43 304TL 0.3mm,11312,10000,1168,1747,461562.41,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-12X,MAT-100247,PRO-12X/PL.48 304TL 0.7mm,8904,7800,769,2740,523015.46,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100249,MX200/PL.50 304TL 0.4mm,7244,4095,589,217,424319.77,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100252,S62/PL.03 304TL 0.4mm,11690,6038,1153,2471,813134.84,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100264,S62/PL.15 304TL 0.8mm,2948,1938,485,863,123963.32,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100269,XL520/PL.20 304TL 0.5mm,11396,6271,595,2114,638459.57,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100270,PRO-9X/PL.21 304TL 0.7mm,9306,5088,455,1775,362814.08,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100273,MX200/PL.24 304TL 0.4mm,8717,4863,742,606,186781.13,READY
NW01,Northwind Midwest,2026-04-03,OPS-S120,MAT-100277,S120/PL.28 304TL 0.3mm,1544,1049,789,3348,60041.37,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100282,PRO-9X/PL.33 304TL 0.6mm,10426,6890,460,562,72900.53,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-12X,MAT-100283,PRO-12X/PL.34 304TL 0.4mm,5958,4724,57,561,86607.92,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX100,MAT-100284,MX100/PL.35 304TL 0.7mm,8634,6737,961,219,294147.17,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX250,MAT-100286,MX250/PL.37 304TL 0.4mm,5656,4671,1117,1523,40853.55,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100287,HT80/PL.38 304TL 0.3mm,11079,8914,131,1327,116459.36,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100290,S140/PL.41 304TL 0.6mm,11749,7501,1172,1031,509460.18,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-9X,MAT-100294,PRO-9X/PL.45 304TL 0.4mm,3391,1836,470,477,202662.39,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100299,HT80/PL.50 304TL 0.8mm,9848,5628,679,1530,625419.8,READY
NW01,Northwind Midwest,2026-04-03,OPS-S120,MAT-100301,S120/PL.02 304TL 0.4mm,9645,7882,291,3049,454556.9,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100305,XL520/PL.06 304TL 0.5mm,3350,2049,231,2889,128851.01,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100311,HT80/PL.12 304TL 0.7mm,6427,5614,605,1054,362651.85,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100315,S160/PL.16 304TL 0.6mm,6380,3360,480,2874,105752.03,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100317,XL520/PL.18 304TL 0.5mm,6113,4258,746,1013,201998.43,READY
NW01,Northwind Midwest,2026-04-03,OPS-S120,MAT-100325,S120/PL.26 304TL 0.3mm,11153,5596,978,976,413583.17,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100329,XL520/PL.30 304TL 0.6mm,9762,6339,719,861,199735.17,READY
NW01,Northwind Midwest,2026-04-03,OPS-S120,MAT-100337,S120/PL.38 304TL 0.4mm,1668,837,326,2069,189923.85,READY
NW01,Northwind Midwest,2026-04-03,OPS-S160,MAT-100339,S160/PL.40 304TL 0.5mm,4866,4442,229,1586,296555.08,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-12X,MAT-100343,PRO-12X/PL.44 304TL 0.7mm,3716,3206,893,2793,176350.19,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX200,MAT-100345,MX200/PL.46 304TL 0.6mm,5942,4142,531,3417,230558.66,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100350,S140/PL.01 304TL 0.7mm,6491,3259,535,230,374438.99,READY
NW01,Northwind Midwest,2026-04-03,OPS-XL520,MAT-100353,XL520/PL.04 304TL 0.5mm,8468,4460,437,2830,450427.45,READY
NW01,Northwind Midwest,2026-04-03,OPS-HT80,MAT-100359,HT80/PL.10 304TL 0.4mm,5862,4223,87,1476,358745.53,READY
NW01,Northwind Midwest,2026-04-03,OPS-S62,MAT-100360,S62/PL.11 304TL 0.5mm,2866,1590,553,510,169418.31,READY
NW01,Northwind Midwest,2026-04-03,OPS-PRO-12X,MAT-100367,PRO-12X/PL.18 304TL 0.4mm,2541,1603,173,92,91059.91,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX250,MAT-100370,MX250/PL.21 304TL 0.8mm,1520,1195,115,673,76610.33,READY
NW01,Northwind Midwest,2026-04-03,OPS-S140,MAT-100374,S140/PL.25 304TL 0.7mm,9219,6125,306,487,205188.45,READY
NW01,Northwind Midwest,2026-04-03,OPS-MX100,MAT-100380,MX100/PL.31 304TL 0.6mm,5623,4732,379,2687,30896.37,READY
