scenario,project_id,plant,destination_country,week,transit_time_days,shipping_cost,landed_cost_proxy,on_time_feasible_flag,expedite_option_flag,logistics_risk_score,synthetic_dependency_flag,scope_id
all_in,SF-100000,NW01,US,2027-W48,1,6606.5690645161285,7955.4134004966945,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2027-W49,1,9249.19669032258,11137.578760695373,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2027-W50,1,9249.19669032258,11137.578760695373,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2027-W51,1,9249.19669032258,11137.578760695373,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2027-W52,1,6606.5690645161285,7955.4134004966945,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W01,1,17432.751745161288,20991.94687691434,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W02,1,17432.751745161288,20991.94687691434,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W03,1,17432.751745161288,20991.94687691434,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W04,1,17432.751745161288,20991.94687691434,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W05,1,18193.390327141267,21907.882865613723,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W06,1,18320.16342413793,22060.53886373029,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W07,1,18320.16342413793,22060.53886373029,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W08,1,18320.16342413793,22060.53886373029,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W09,1,24498.86572947719,29500.729170917497,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W10,1,26970.3466516129,32476.805293792386,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W11,1,26970.3466516129,32476.805293792386,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W12,1,26970.3466516129,32476.805293792386,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W13,1,24561.106329247305,29575.67725616882,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W14,1,18538.00552333333,22322.85716210992,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W15,1,18538.00552333333,22322.85716210992,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W16,1,18538.00552333333,22322.85716210992,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W17,1,18538.00552333333,22322.85716210992,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W18,1,14260.371367741936,17171.87065890494,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W19,1,14260.371367741936,17171.87065890494,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W20,1,14260.371367741936,17171.87065890494,True,True,0.0212352,True,mvp_3plant
all_in,SF-100000,NW01,US,2028-W21,1,14260.371367741936,17171.87065890494,True,True,0.0212352,True,mvp_3plant
