plant,work_center,year,week,week_start,available_hours,baseline_demand_qty,remaining_capacity_hours,missing_capacity_hours,source_system,reason_code
NW01,P01_NW01_ASSY_1,2026,1,2025-12-29,40.6,8655.144,0.0,8614.544,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,2,2026-01-05,40.6,10293.5396,0.0,10252.9396,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,3,2026-01-12,40.6,10275.164200000001,0.0,10234.5642,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,4,2026-01-19,40.6,10691.166,0.0,10650.565999999999,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,5,2026-01-26,40.6,8388.640399999998,0.0,8348.040399999998,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,6,2026-02-02,40.6,10408.2624,0.0,10367.6624,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,7,2026-02-09,40.6,10005.7116,0.0,9965.1116,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,8,2026-02-16,40.6,9159.8716,0.0,9119.2716,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,9,2026-02-23,40.6,9032.028,0.0,8991.428,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,10,2026-03-02,40.6,8584.702000000001,0.0,8544.102,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,11,2026-03-09,40.6,10680.4514,0.0,10639.8514,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,12,2026-03-16,40.6,8340.668199999998,0.0,8300.068199999998,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,13,2026-03-23,40.6,8579.615600000001,0.0,8539.0156,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,14,2026-03-30,40.6,10142.1748,0.0,10101.5748,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,15,2026-04-06,40.6,10502.7112,0.0,10462.1112,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,16,2026-04-13,40.6,9447.829,0.0,9407.229,clarix_legacy_capacity,READY
NW01,P01_NW01_ASSY_1,2026,17,2026-04-20,40.6,10146.8678,0.0,10106.2678,clarix_legacy_capacity,READY
