lane_id,origin_country,destination_country,transit_days_synth,lane_cost_index_synth,lane_reliability_synth,generation_logic,generation_version,random_seed
US__US,US,US,1,1.5461,0.9349,seeded_country_pair_matrix,wave1_seeded_v1,42
US__DE,US,DE,24,1.9855,0.6367,seeded_country_pair_matrix,wave1_seeded_v1,42
US__PL,US,PL,18,2.0939,0.9066,seeded_country_pair_matrix,wave1_seeded_v1,42
US__IN,US,IN,30,1.0178,0.7757,seeded_country_pair_matrix,wave1_seeded_v1,42
US__CN,US,CN,17,2.3755,0.8511,seeded_country_pair_matrix,wave1_seeded_v1,42
US__US2,US,US2,14,2.1987,0.7729,seeded_country_pair_matrix,wave1_seeded_v1,42
US__US3,US,US3,16,1.7428,0.6249,seeded_country_pair_matrix,wave1_seeded_v1,42
US__ES,US,ES,10,2.207,0.8463,seeded_country_pair_matrix,wave1_seeded_v1,42
US__CH,US,CH,8,1.4027,0.9786,seeded_country_pair_matrix,wave1_seeded_v1,42
US__LV,US,LV,24,2.3183,0.9036,seeded_country_pair_matrix,wave1_seeded_v1,42
US__IL,US,IL,24,1.5934,0.6171,seeded_country_pair_matrix,wave1_seeded_v1,42
US__BR,US,BR,9,1.0623,0.8664,seeded_country_pair_matrix,wave1_seeded_v1,42
US__CL,US,CL,28,2.4448,0.7271,seeded_country_pair_matrix,wave1_seeded_v1,42
US__AU,US,AU,24,1.4298,0.7831,seeded_country_pair_matrix,wave1_seeded_v1,42
US__VN,US,VN,25,1.0209,0.7855,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__US,DE,US,9,1.1857,0.8612,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__DE,DE,DE,3,2.2156,0.8731,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__PL,DE,PL,15,1.331,0.9246,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__IN,DE,IN,15,1.4587,0.7124,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__CN,DE,CN,25,1.9602,0.6545,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__US2,DE,US2,26,0.8125,0.9069,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__US3,DE,US3,9,1.9302,0.875,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__ES,DE,ES,11,1.5802,0.8218,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__CH,DE,CH,25,1.0377,0.6447,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__LV,DE,LV,15,1.6009,0.8204,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__IL,DE,IL,22,2.1005,0.8475,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__BR,DE,BR,19,1.7507,0.7185,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__CL,DE,CL,18,0.8524,0.7703,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__AU,DE,AU,30,1.4945,0.9328,seeded_country_pair_matrix,wave1_seeded_v1,42
DE__VN,DE,VN,9,1.1977,0.6227,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__US,PL,US,27,1.2991,0.8581,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__DE,PL,DE,11,1.747,0.9057,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__PL,PL,PL,3,1.4909,0.9175,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__IN,PL,IN,21,1.0839,0.6089,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__CN,PL,CN,6,2.028,0.7801,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__US2,PL,US2,6,1.0742,0.7954,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__US3,PL,US3,29,1.9837,0.774,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__ES,PL,ES,8,1.4477,0.7176,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__CH,PL,CH,22,1.4151,0.6342,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__LV,PL,LV,21,1.0006,0.9751,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__IL,PL,IL,13,1.9895,0.7037,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__BR,PL,BR,28,2.4476,0.9037,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__CL,PL,CL,11,1.5639,0.7062,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__AU,PL,AU,23,0.9639,0.952,seeded_country_pair_matrix,wave1_seeded_v1,42
PL__VN,PL,VN,7,1.144,0.7193,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__US,IN,US,16,1.7847,0.6689,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__DE,IN,DE,16,2.0895,0.8806,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__PL,IN,PL,27,1.5346,0.8447,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__IN,IN,IN,1,1.9047,0.6329,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__CN,IN,CN,19,1.5069,0.6162,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__US2,IN,US2,8,1.3608,0.6564,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__US3,IN,US3,17,0.9758,0.8292,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__ES,IN,ES,25,2.3727,0.8266,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__CH,IN,CH,8,1.3897,0.8305,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__LV,IN,LV,11,2.4296,0.7881,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__IL,IN,IL,4,2.1306,0.6323,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__BR,IN,BR,11,1.6342,0.9658,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__CL,IN,CL,17,1.7719,0.7847,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__AU,IN,AU,25,1.3637,0.8031,seeded_country_pair_matrix,wave1_seeded_v1,42
IN__VN,IN,VN,11,1.5461,0.6084,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__US,CN,US,13,2.3235,0.6547,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__DE,CN,DE,26,1.7419,0.6423,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__PL,CN,PL,21,1.2781,0.8572,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__IN,CN,IN,22,2.0359,0.8998,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__CN,CN,CN,1,2.3572,0.6898,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__US2,CN,US2,6,0.8636,0.8164,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__US3,CN,US3,18,2.2106,0.9152,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__ES,CN,ES,14,1.3391,0.9716,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__CH,CN,CH,21,1.6756,0.6998,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__LV,CN,LV,11,2.3913,0.6642,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__IL,CN,IL,18,1.5397,0.987,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__BR,CN,BR,5,2.3159,0.892,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__CL,CN,CL,26,2.3189,0.8024,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__AU,CN,AU,28,1.3371,0.9011,seeded_country_pair_matrix,wave1_seeded_v1,42
CN__VN,CN,VN,13,1.4352,0.6368,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__US,US2,US,21,2.0695,0.7024,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__DE,US2,DE,4,1.2096,0.6479,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__PL,US2,PL,29,2.2129,0.6598,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__IN,US2,IN,24,1.819,0.9411,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__CN,US2,CN,8,1.1339,0.721,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__US2,US2,US2,3,2.4521,0.7953,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__US3,US2,US3,24,1.0446,0.6054,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__ES,US2,ES,8,1.0241,0.8643,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__CH,US2,CH,10,1.0071,0.7975,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__LV,US2,LV,29,1.7879,0.6779,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__IL,US2,IL,22,2.167,0.879,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__BR,US2,BR,6,1.0228,0.6483,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__CL,US2,CL,23,2.3769,0.7551,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__AU,US2,AU,30,1.6306,0.8585,seeded_country_pair_matrix,wave1_seeded_v1,42
US2__VN,US2,VN,12,2.4246,0.7117,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__US,US3,US,29,0.8423,0.8165,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__DE,US3,DE,28,1.8778,0.6413,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__PL,US3,PL,23,1.5125,0.9768,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__IN,US3,IN,7,1.8133,0.9639,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__CN,US3,CN,23,1.5945,0.9061,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__US2,US3,US2,25,0.8303,0.6426,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__US3,US3,US3,1,2.1546,0.6907,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__ES,US3,ES,26,1.7023,0.8363,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__CH,US3,CH,29,1.8253,0.7609,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__LV,US3,LV,27,1.4361,0.7661,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__IL,US3,IL,7,2.2747,0.777,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__BR,US3,BR,21,1.2213,0.6923,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__CL,US3,CL,30,2.1882,0.6411,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__AU,US3,AU,24,0.9132,0.8318,seeded_country_pair_matrix,wave1_seeded_v1,42
US3__VN,US3,VN,13,2.2019,0.721,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__US,ES,US,7,1.0446,0.9592,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__DE,ES,DE,20,1.284,0.6599,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__PL,ES,PL,8,0.9963,0.6082,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__IN,ES,IN,23,1.0969,0.6208,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__CN,ES,CN,5,1.8049,0.8655,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__US2,ES,US2,25,1.3406,0.7968,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__US3,ES,US3,14,2.2875,0.9319,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__ES,ES,ES,2,1.1085,0.6923,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__CH,ES,CH,5,1.224,0.8228,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__LV,ES,LV,29,0.8837,0.7457,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__IL,ES,IL,15,1.6904,0.6397,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__BR,ES,BR,6,0.8883,0.9607,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__CL,ES,CL,26,0.9685,0.929,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__AU,ES,AU,25,2.4653,0.9128,seeded_country_pair_matrix,wave1_seeded_v1,42
ES__VN,ES,VN,28,2.1251,0.8506,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__US,CH,US,20,1.0287,0.8091,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__DE,CH,DE,25,1.6742,0.9345,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__PL,CH,PL,26,1.4547,0.8494,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__IN,CH,IN,16,1.253,0.6545,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__CN,CH,CN,15,1.5087,0.6907,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__US2,CH,US2,16,1.4248,0.7429,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__US3,CH,US3,23,1.4451,0.8674,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__ES,CH,ES,12,1.3047,0.9701,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__CH,CH,CH,3,1.6175,0.7281,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__LV,CH,LV,28,1.7102,0.9309,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__IL,CH,IL,17,2.1675,0.8078,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__BR,CH,BR,21,1.876,0.7124,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__CL,CH,CL,8,1.1441,0.871,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__AU,CH,AU,23,2.2632,0.6515,seeded_country_pair_matrix,wave1_seeded_v1,42
CH__VN,CH,VN,29,0.9617,0.883,seeded_country_pair_matrix,wave1_seeded_v1,42
LV__US,LV,US,20,0.9436,0.965,seeded_country_pair_matrix,wave1_seeded_v1,42
LV__DE,LV,DE,23,2.4301,0.9123,seeded_country_pair_matrix,wave1_seeded_v1,42
LV__PL,LV,PL,7,1.8093,0.9052,seeded_country_pair_matrix,wave1_seeded_v1,42
